label	files	dirs	bytes	role_suggestion	path
BACKUP_TEMPLATE_CANDIDATE	89	28	85898	FUENTE_RICA_BACKUP_CANDIDATA	C:\ENGREMIAT_CORE\backups\template-improvement\module-inicio-ref-before-e05-20260619-231559
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	59	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\04_GATES
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	55	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE\10_CANVAS
DISCOVERED_TEMPLATE_LIKE_DIR	7	6	1062	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MODULE
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	521	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\00_CTL
DISCOVERED_TEMPLATE_LIKE_DIR	8	7	1199	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER
DISCOVERED_TEMPLATE_LIKE_DIR	0	0	0	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APLICABLES_NO_APLICADOS\PLANTILLA_MAESTRA_OFICIAL_LIMPIA
DISCOVERED_TEMPLATE_LIKE_DIR	0	0	0	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APLICABLES_NO_APLICADOS\PLANTILLA_MODULO_INICIAL_LIMPIA
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	63	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\04_EVID
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	52	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\05_GATES
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	61	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\03_MODS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	101	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\01_OBJ
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	113	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_mejorar-plantilla-maestra-y-pantilla-modulo-inicial\BOVEDA_MODULO\10_TRABAJO_MEJORA_PLANTILLAS\03_APPLY\MASTER\02_ROAD
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	219	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_EVIDENCE
DISCOVERED_TEMPLATE_LIKE_DIR	11	2	5941	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS
DISCOVERED_TEMPLATE_LIKE_DIR	11	3	5467	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS
DISCOVERED_TEMPLATE_LIKE_DIR	7	0	3440	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_ROADMAPS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	221	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_DECISIONS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	235	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_REPORTS
DISCOVERED_TEMPLATE_LIKE_DIR	8	1	4146	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	250	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\06_DECISIONS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	2954	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_CANVAS
DISCOVERED_TEMPLATE_LIKE_DIR	9	0	4576	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\05_HUMAN_GATES
DISCOVERED_TEMPLATE_LIKE_DIR	90	29	86983	REVISAR	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	1946	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\.obsidian
MODULE_INICIO_TEMPLATE_REFERENCE_NOW_TOO_CLEAN	14	8	8369	REFERENCIA_MODULO_INICIO_NO_USAR_COMO_MASTER	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\MODULOS\MODULE_inicio\BOVEDA_MODULO\00_PLANTILLA_MAESTRA_REFERENCIA
ACTIVE_OFFICIAL_MASTER_NOW_TOO_CLEAN	9	8	1720	DESTINO_ACTIVO_NO_USAR_COMO_FUENTE_RICA	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL
RICH_ORIGINAL_MASTER_ARCHIVE	89	28	85898	FUENTE_RICA_PRINCIPAL_DENTRO_DEL_PROYECTO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	197	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_ROADMAP
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	329	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\02_MODULES
DISCOVERED_TEMPLATE_LIKE_DIR	7	0	3886	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\01_OBJECTIVES
